Longitude,Latitude,Label
15.6,56.166667,Karlskrona
142.05,-49.166667,Shakhtersk
-92.652361,18.503417,Frontera
-62.533333,46.183333,Georgetown
-6.25,54.1,Warren Point
130.801639,33.874583,Yahata
-156.477194,20.899194,Kahului
10.619944,55.060389,Svendborg
-2.68925,51.485806,Bristol
49.283333,-12.266667,Antisranana
128.75,0.366667,Patani
26.683333,37.8,Neon Karlovas
12.926583,55.594583,Limhamn
-7.483333,56.95,Castle Bay
34.594472,31.733333,Ashdod
102.201639,2.222083,Melaka
134.707472,34.782889,Mega
-82.85,8.266667,Puerto Armuelles
-77.960306,34.181389,Wilmington
10.782444,54.002472,Lubeck
-120.75,35.166667,Port San Luis
11.127417,54.831667,Nakskov
49.866667,26.9,Ras Al Ghar
-71.616667,-33.033333,Bahia De Valparaiso
36.809583,46.729167,Berdyansk
-70.514639,18.219167,Las Calderas
-134.933333,57.516667,Chatham
-69.25,43.916667,Port Clyde
42.542472,-0.365528,Kismaayo
-64.65,44.033333,Liverpool (Brooklyn)
113.383333,-24.216667,Cape Cuvier
144.366667,42.983333,Kushiro Ko
-155.983333,20.75,Hana
-58.416667,54.183333,Rigolet
-74.1,39.766667,Barnegat
15.656194,38.137472,Reggio Di Calabria
-118.206722,33.765417,Long Beach
121.641222,-8.848361,Ende
54.553306,25.889583,Jazireh Ye Sirri
4.930806,52.384167,Amsterdam
9.240861,58.716611,Risor
141.612056,-38.348389,Portland
-71.583333,10.783333,Punta De Palmas
16.831556,68.334583,Litle Ballangen
-55.9,50.883333,Conche
-78.216667,26.616667,South Riding Point
-3.5,57.7,Burghead
24.95,37.833333,Andros
17.189222,61.1875,Vallvik
-1.796278,37.229167,Puerto De Garrucha
103.466667,4.25,Kemaman Harbor
10.233333,59.116667,Sandefjorden
-71.4,41.583333,Quonset Point
-66.630056,17.97875,Playa De Ponce
-72.981278,-36.709167,Lirquen
0.079528,35.936667,Mostaganem
23.55,38.033333,Elevsis
12.083333,-5.433333,Malongo Oil Terminal
105.984556,-5.998361,Banten
-44.716667,-60.75,Scotia Bay
0.21575,49.425361,Honfleur
20.35,63.7,Umea Hamn
54.016667,16.933333,Mina Raysut
11.35,54.65,Rodby Havn
-88.883333,30.383333,Biloxi
-55.533333,72.15,Kajalleq Upernavik
-124.198639,43.401,North Bend
-60.2,55.45,Hopedale Harbor
-70.65,-26.35,Puerto Chanaral
-80.458361,22.072083,Cienfuegos
-112.236389,27.320389,Santa Rosalia
11.581639,57.89875,Marstrand
-3.183333,55.983333,Leith
0.366667,51.45,Gravesend
-79.877528,-2.217111,Guayaquil
23.219583,39.182472,Miliana
73.283333,16.983333,Ratnagiri
16.133333,69.333333,Andenes
-70.016667,43.733333,South Harpswell
4.134611,51.963028,Hoek Van Holland
-123.514667,48.569139,Bamberton
128.65,35.133333,Chinae
133.133333,34.383333,Onomichi Itozaki
162.333333,11.333333,Enitwetak Island
-160.787944,63.883528,Unalakleet
-22,64.266667,Grundartangi
-1.092528,50.810833,Portsmouth Harbour
143.133333,49.216667,Poronaysk
-63.25,10.7,Carupano
-0.252556,49.290444,Port De Caen
137.589611,-33.022556,Whyalla
10.228278,55.098694,Faborg
17.159944,60.927028,Norrsundet
-122.333333,37.816667,Oakland
-149.42675,60.122917,Seward
118.3325,5.034556,Lahad Datu
-4.916667,55.75,Millport
16.457472,57.266667,Oskarshamn
22.133333,70.583333,Bredvik
50.75,26.25,Khalifa Bin Salman
-8.514194,33.267056,El Jadida
30.567861,36.7775,Antalya Offshore Terminal
-67.390389,44.698028,Machiasport
-23.483333,65.883333,Thingeyri
141.151694,-2.642083,Vanimo
30.676167,46.3125,Illichivsk
28.659111,44.342083,Midia
-63.083333,18.016667,Coles Bay Oil Terminal
-61.466667,10.316667,Pointe A Pierre
8.417444,40.842028,Porto Torres
-70.883333,42.533333,Beverly
-68.875083,44.125833,North Haven
105.983333,-5.966667,Tanjung Gerem
-2.966667,57.683333,Buckie Harbor
-2.716667,51.5,Avonmouth
17.966667,58.9,Nynashamn
128.65,40.2,Ch'aho
36.483333,45.35,Kerch
11.266667,55.2,Gulfhaven
116.766667,-1.45,Lawi Lawi Oil Terminal
-73.752528,-42.542111,Puerto Castro
-69.916667,12.433333,Sint Nicolaas Baai
-56.410472,49.945,Seal Cove
-68.420694,44.496528,Ellsworth
145.616667,14.966667,Tinian
12.415028,65.827944,Tjotta
-76.8,37.533333,West Point
171.383333,7.083333,Majuro Atoll
150.766667,59.562889,Bukhta Nagayeva (Magadan)
126.314944,8.222917,Mangagoy
-0.666667,45.133333,Blaye
117.533333,-0.1,Tanjung Santan
-87.441722,13.373444,Puerto De San Lorenzo
-175.1825,-21.142917,Nuku Alofa
99.833333,6.316667,Pelabuhan Bass
